TerminalId,Address,City,State,Zip
AT,4351 THURMAN RD,CONLEY,GA,30288
AU,6220 BANNING LANE #1,AUSTIN,TX,78724
CA,234040 WRANGLER ROAD,ROCKYVIEW,AB,T1X0R2
CG,7701 WEST 95TH ST,HICKORY HILLS,IL,60457
CH,312 PINEVIEW DR,KERNERSVILLE,NC,27284
DA,1625 VANTAGE DR STE 102,CARROLLTON,TX,75006
DBQ,1069 BADGER RD,HAZEL GREEN,WI,53811
DV,6331 BEACH ST,DENVER,CO,80221
ED,14520 130 AVENUE W,EDMONTON,AB,T5L3M6
FLN,,FLINT,MI,48501
FN,4416 S. K STREET,TULARE,CA,93274
HR,320 SOUTH UTAH AVE SUITE 7,WESLACO,TX,78596
HS,3340 GREENS ROAD,HOUSTON,TX,77032
IND,NULL,INDEPENDANCE,CA,93526
KC,511 SOUTH COY STREET,KANSAS CITY,KS,66105
KCT,123 MAIN STREET,KETTLEMAN CITY,CA,93239
KE,131 TILLEY RD,KELOWNA,BC,V4V2K5
KNG,NULL,KINGSTON,ON,K7K0A3
LA,2720 E 26TH STREET,VERNON,CA,90058
LCW,N4690 BANGOR IND PKWY,WEST SALEM,WI,54669
LR,835 HALLMARK DRIVE,LAREDO,TX,78045
MAD,3625 LEXINGTON AVE,MADISON,WI,53714
MLW,4924 S 13TH ST,MILWAUKEE,WI,53221
MP,3086 CARRIER STREET,MEMPHIS,TN,38116
MT,6800 CHEMIN ST FRANCOIS,ST LAURENT,QC,H4S1B7
NJ,8 EASTMANS RD,PARSIPPANY,NJ,7054
OA,2968 ALVARADO ST,SAN LEANDRO,CA,94577
PH,4141 S 36TH ST,PHOENIX,AZ,85040
PT,11060 NE HOLMAN,PORTLAND,OR,97220
ROF,5155 8TH ST,ROCKFORD,IL,61109
SA,5855 BICENTINNIAL DR,SAN ANTONIO,TX,78219
SC,3422 51ST AVE,SACRAMENTO,CA,95823
SE,2201 6TH AVE. S,SEATTLE,WA,98134
SK,TEST,SASKATOON,SK,S7K3V4
SL,510 SOUTH DELONG ST,SALT LAKE CITY,UT,84104
SR,1277 SPICE ISLAND DRIVE,RENO,NV,89431
ST,121 BREMEN AVENUE,ST LOUIS,MO,63147
STP,102 PACKER DR,ROBERTS,WI,54023
SYR,,SYRACUSE,NY,13201
TO,5425 DIXIE RD BULD B,MISSISSAUGA,ON,L4W1E6
TY,6577 REYNOLDS RD,TYLER,TX,75708
VA,10239 GRACE ROAD,SURREY ,BC,V3V3V7
WI,741 OAKPOINT HWY,WINNIPEG,MB,R3C2E6
WLT,NULL,WILTON,NY,12831
